,start,end,label,Segs File,File,src_start_ts,src_end_ts,src_file,mrg_start_corrected,mrg_end_corrected
0,0.0,207914.72,np,copdpatient30.json,000_merged.wav,234521,274931,copdpatient30/wav/audio_1491782892441.wav,141168.0,181578.0
1,207914.72,242698.92799999996,np,copdpatient30.json,000_merged.wav,314802,349586,copdpatient30/wav/audio_1491782892441.wav,207914.72,242698.92799999996
2,243884.75199999998,262265.04,np,copdpatient30.json,000_merged.wav,373968,384446,copdpatient30/wav/audio_1491782892441.wav,251767.0,262245.0
3,261474.49599999998,279854.784,np,copdpatient30.json,000_merged.wav,391298,408883,copdpatient30/wav/audio_1491782892441.wav,262245.0,279830.0
4,279854.784,301397.27999999997,p,copdpatient30.json,000_merged.wav,409043,430553,copdpatient30/wav/audio_1491782892441.wav,279887.0,301397.27999999997
5,300409.088,319382.304,p,copdpatient30.json,000_merged.wav,429565,448538,copdpatient30/wav/audio_1491782892441.wav,300409.088,319382.304
6,319382.304,360293.27999999997,p,copdpatient30.json,000_merged.wav,448538,489449,copdpatient30/wav/audio_1491782892441.wav,319382.304,360293.27999999997
7,360293.27999999997,439545.93600000005,np,copdpatient30.json,000_merged.wav,489449,568701,copdpatient30/wav/audio_1491782892441.wav,360293.27999999997,439545.93600000005
8,439545.93600000005,594889.056,p,copdpatient30.json,000_merged.wav,568701,652873,copdpatient30/wav/audio_1491782892441.wav,439545.93600000005,523717.0
9,594889.056,668410.24,np,copdpatient30.json,000_merged.wav,769976,809953,copdpatient30/wav/audio_1491782892441.wav,628433.0,668410.24
10,668410.24,718610.176,p,copdpatient30.json,000_merged.wav,854784,874997,copdpatient30/wav/audio_1491782892441.wav,698397.0,718610.176
11,718610.176,823753.36,p,copdpatient30.json,000_merged.wav,961832,998981,copdpatient30/wav/audio_1491782892441.wav,786604.0,823753.36
12,825334.4639999999,845098.224,np,copdpatient30.json,000_merged.wav,1000562,1020326,copdpatient30/wav/audio_1491782892441.wav,825334.4639999999,845098.224
13,845098.224,866443.072,p,copdpatient30.json,000_merged.wav,1020326,1041671,copdpatient30/wav/audio_1491782892441.wav,845098.224,866443.072
14,868024.176,887392.6560000001,np,copdpatient30.json,000_merged.wav,1043252,1062620,copdpatient30/wav/audio_1491782892441.wav,868024.176,887392.6560000001
15,887392.6560000001,929687.0880000001,p,copdpatient30.json,000_merged.wav,1062620,1087194,copdpatient30/wav/audio_1491782892441.wav,887392.6560000001,911966.0
16,929687.0880000001,1073962.5119999999,np,copdpatient30.json,000_merged.wav,1112529,1201144,copdpatient30/wav/audio_1491782892441.wav,929687.0880000001,1018302.0
17,1020995.648,1349864.544,np,copdpatient30.json,000_merged.wav,1619496,1668625,copdpatient30/wav/audio_1491782892441.wav,1300735.0,1349864.544
18,1073962.5119999999,1140764.016,p,copdpatient30.json,000_merged.wav,1334495,1355859,copdpatient30/wav/audio_1491782892441.wav,1102543.0,1123907.0
19,1341860.224,1417753.056,p,copdpatient30.json,000_merged.wav,1660621,1723739,copdpatient30/wav/audio_1491782892441.wav,1341860.224,1404978.0
